frame_nmr,truck_id,truck_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
228,1.0,[649.053146206986 106.44399280204922 938.4641587423002 409.1172826776565],[791.3794555664062 327.87872314453125 861.6077270507812 352.021240234375],0.8154403567314148,7BN'920640,0.19985374848688328
229,1.0,[648.3273880793565 105.582273507058 939.4490139812101 409.3482010276918],[791.5538330078125 327.59051513671875 861.5247802734375 351.91448974609375],0.8247151970863342,7BM'9206'40,0.09715725705926229
230,1.0,[648.0616939163033 104.61400166898045 940.9580933786269 409.4919454241606],[793.0150146484375 326.5601806640625 863.8206787109375 351.406005859375],0.8503883481025696,IBA920840,0.2702417531473106
231,1.0,[650.8259678979983 103.75024361547787 944.8418155675353 409.94623966811514],[799.5103759765625 326.5084533691406 868.0218505859375 351.8037414550781],0.8323084712028503,(BN'9208*40,0.2342582464017632
232,1.0,[653.0381888361801 102.18943864722729 948.3691041750444 409.8233082016599],[800.8971557617188 325.0251770019531 871.3079223632812 351.8842468261719],0.8761298656463623,B/9208*40,0.30309323421467005
233,1.0,[653.0165332952396 101.23580373314516 949.8684456768459 410.8378788921784],[800.9330444335938 325.9486083984375 871.0933227539062 351.90863037109375],0.8645974397659302,BA9208*40,0.34949944205943856
234,1.0,[651.657390021445 100.27909063699235 950.218731329278 412.0359974965579],[800.7947387695312 326.6029357910156 870.7924194335938 352.4091491699219],0.8452515006065369,(BM9208*40,0.27588117469190704
235,1.0,[651.599054833059 98.19227021399527 952.0496682775974 412.1750046341084],[801.7797241210938 325.2859191894531 874.0921020507812 352.5320739746094],0.8870739936828613,OH9208*40,0.17099982152114168
236,1.0,[651.8480247844537 96.2510767061462 954.2460847361148 412.77517837194574],[803.519775390625 324.60943603515625 875.313720703125 352.0418701171875],0.8968823552131653,BM9208*40},0.4992896916250163
237,1.0,[650.0013083198829 95.29909015429018 955.0659891240506 414.5194696195098],[803.0162353515625 325.50628662109375 877.0382080078125 352.76849365234375],0.8736796379089355,BM920840],0.2546065015380144
238,1.0,[650.372917576753 94.15613602543243 957.134042646423 415.7532162939518],[807.4779052734375 325.70697021484375 880.8067626953125 352.91925048828125],0.8852212429046631,[BM920840,0.33812058458229355
239,1.0,[651.6879541644724 93.28624520702729 960.6185705918462 416.99256550444227],[808.3666381835938 326.33477783203125 884.6483764648438 354.50555419921875],0.8654717803001404,BH9208740],0.2817207675697601
240,1.0,[652.4832066665947 91.70091865042755 963.7229583303279 417.2127888034519],[811.581298828125 326.266357421875 887.2052001953125 353.7137451171875],0.8569037914276123,[BH920870],0.15238903030221468
241,1.0,[652.3998731563331 90.72679449277334 966.0213954172393 418.25285663693785],[813.4288940429688 327.333984375 889.0081176757812 356.30029296875],0.8633460998535156,BH9208A0,0.1727681768232593
242,1.0,[651.5330130903882 90.42350835555817 967.719485891003 420.16774574207767],[813.9962158203125 329.25921630859375 889.718017578125 360.00421142578125],0.8764144778251648,BH'92087AO],0.14102387166312605
243,1.0,[651.4838312945409 90.5607395163209 969.88383892932 422.2220841883969],[814.8450927734375 332.2237243652344 892.5943603515625 359.7872619628906],0.8776178359985352,[BH9208740],0.11944833343202642
244,1.0,[652.3191419861789 91.37473821174623 972.8538843256838 424.3291848019919],[818.01513671875 333.82318115234375 895.558837890625 360.95330810546875],0.8753319382667542,(BM'9208*40|,0.29182841015467376
245,1.0,[652.4116390215519 91.76268551650148 975.5903836577796 426.10733896713964],[817.9739990234375 335.474853515625 898.0325927734375 362.025146484375],0.8870553970336914,[BH920840),0.2189673586426015
246,1.0,[652.244281348137 91.37643776126959 978.2529888039356 427.337336955974],[818.6968994140625 335.43658447265625 899.3504638671875 363.28631591796875],0.8919896483421326,BH'920840],0.24863604409639295
247,1.0,[651.531691271188 90.05110843027651 980.1653626087648 427.85749891184673],[820.7672119140625 334.3872985839844 900.0511474609375 361.8421936035156],0.8810762763023376,BH'9208740},0.13679988863116252
248,1.0,[649.5287840700291 88.02333644483303 980.7925131066424 428.1032044592796],[819.35595703125 334.3890380859375 899.828369140625 362.3050537109375],0.8845749497413635,BH'9208*A0,0.18308894060512473
249,1.0,[648.4057007467858 84.93055004850444 982.006295673987 428.1425885152804],[819.9791259765625 333.7486877441406 900.1151123046875 361.6507263183594],0.8836899399757385,BH'920840],0.33363997671216516
250,1.0,[647.9957701727305 82.28094424009998 984.1706269292972 428.68937120477085],[823.277587890625 333.7166748046875 902.8232421875 362.9578857421875],0.8808783292770386,[BH920840],0.3498778175722796
251,1.0,[647.1956796548371 80.21217773917729 986.5895292217348 429.66436408402546],[824.9156494140625 333.99615478515625 905.3221435546875 364.29449462890625],0.8871158957481384,[BH920840],0.31421229628954206
252,1.0,[647.1838737024096 79.06444628507424 989.161915189576 431.50250583697107],[826.4906005859375 334.3865966796875 907.1844482421875 365.8065185546875],0.8953666687011719,BH920840],0.5118432786443547
253,1.0,[646.5727155393768 78.0695939006076 991.3891601356597 432.9351122971133],[827.1400146484375 334.37060546875 908.8197021484375 365.55517578125],0.9009528756141663,BH9208*A0],0.28548187428954774
254,1.0,[645.9122895372528 77.02057782240081 992.768406365422 433.99836818795984],[826.8034057617188 334.227294921875 907.6259155273438 365.442138671875],0.8938052654266357,[BH920840),0.16654604301336323
255,1.0,[644.9180741328063 75.23250528668564 993.7767994827663 434.5185148736513],[826.7381591796875 334.40216064453125 907.9539794921875 365.55218505859375],0.8949859738349915,[BH9208*40),0.22978146058461116
256,1.0,[645.0861847475483 73.81813253981858 995.8198537166497 435.44761492848374],[828.0511474609375 334.46697998046875 911.3946533203125 366.83526611328125],0.9024748802185059,BH'9208*AO],0.17872964119466087
257,1.0,[646.095723780579 72.65637328482248 999.2200884242602 436.67214056681007],[831.4093627929688 335.54827880859375 914.8251342773438 367.33416748046875],0.9102198481559753,[BH9208*40),0.22101278029868718
258,1.0,[645.289594971685 72.8086086538456 1000.5336800726517 438.6936162171378],[830.8867797851562 336.76019287109375 914.8432006835938 368.63726806640625],0.9188019037246704,[BM920840],0.2391603816647649
259,1.0,[644.2355917223342 72.91484032096298 1001.4979815441891 440.66797497888354],[830.092529296875 339.26055908203125 914.801025390625 370.88812255859375],0.8972903490066528,[BH9208*40,0.6111799764151272
260,1.0,[643.5373502517638 72.83767161868153 1002.8760012632491 442.2731975548023],[830.9283447265625 340.4547424316406 916.3375244140625 373.3471984863281],0.882560133934021,[BH9208*40],0.3178078292463547
261,1.0,[643.838674534161 72.21442221307501 1005.0519518427872 443.53424881163124],[832.452880859375 340.616455078125 918.735107421875 375.87646484375],0.894137442111969,[BH9208*40,0.5872338704914881
262,1.0,[643.3356093062997 71.14456461988689 1006.6969870938245 444.5511704283075],[833.16357421875 341.64825439453125 919.90185546875 376.54840087890625],0.9022727012634277,[BH9208*40],0.30701307044822074
263,1.0,[641.7847503151186 70.03325867801038 1008.4762942709337 445.576302940501],[833.980224609375 343.74114990234375 922.773193359375 376.52679443359375],0.8899099230766296,[BH9208*40],0.30326891120382504
264,1.0,[642.2745661220652 69.82277201385014 1011.9715595540861 447.3662428010631],[838.7275390625 344.7831726074219 925.578125 376.7889099121094],0.9037057757377625,[BH9208A0],0.14591717544080834
265,1.0,[644.4980628288109 69.80387737980936 1017.1228962653071 449.1299555060359],[841.708740234375 346.59185791015625 930.126708984375 380.46685791015625],0.8973989486694336,[BH920840],0.28967865533784626
266,1.0,[647.0447786990037 70.60198380000526 1022.4359425191919 451.73417132777405],[848.0963134765625 349.1780090332031 936.5823974609375 383.4842224121094],0.8982398509979248,[BH920840],0.3758552103708376
267,1.0,[650.2480153384474 70.92243807387234 1028.9297649803527 453.99518639139995],[848.4330444335938 350.31854248046875 939.7279663085938 383.17193603515625],0.9018506407737732,[BH9208*A0],0.16803073152043224
268,1.0,[648.5236521842533 71.89041058658603 1029.6783213418494 456.4702846464999],[847.32958984375 352.01812744140625 937.638916015625 383.96368408203125],0.9079548120498657,BH9208*40],0.6287488294043786
269,1.0,[646.4844570310371 71.91587026721655 1029.6221426539084 458.12216648181266],[845.692626953125 353.33251953125 935.9561767578125 387.3001708984375],0.8999605774879456,[BM9208A0],0.2864758037218885
270,1.0,[644.6692048318947 71.66715618760244 1030.7997166214495 459.25737322218276],[846.5364990234375 354.0758056640625 938.2796630859375 387.970458984375],0.895439863204956,[BH9208*40],0.376831123109833
271,1.0,[643.376793905091 70.56317778306072 1032.594551732889 459.5282330875807],[846.726318359375 352.37451171875 939.14208984375 385.964599609375],0.9077479839324951,BM,0.4104824869467374
272,1.0,[642.2511270044643 69.59532107242978 1034.2410598495387 460.46642685246377],[847.6934814453125 353.04296875 940.1282958984375 388.5540771484375],0.9027729630470276,[BH*9208*40],0.3610869026462925
273,1.0,[643.7936222615087 60.49715208092857 1038.7612125106668 459.1497896056409],[851.5469360351562 355.4434814453125 944.7507934570312 391.222900390625],0.8948745727539062,[BM'9208A0],0.09712159635407527
274,1.0,[647.2356285754292 45.03032902119742 1044.669268504263 456.99290413672475],[856.2725830078125 358.90618896484375 948.306640625 392.59100341796875],0.8865275382995605,[BH9208*40],0.2328820459202165
275,1.0,[648.8553347464097 46.20663458447194 1049.5451805577848 462.99116548348366],[857.111572265625 359.17388916015625 950.22119140625 393.26837158203125],0.8804132342338562,[BH9208*A0],0.45973563737776474
276,1.0,[648.3874095678445 27.582454637263197 1051.9017091689611 458.11359654478895],[855.4285888671875 358.4896240234375 950.3363037109375 393.7408447265625],0.8807569742202759,[BH9208*40],0.6281044746316727
277,1.0,[646.7604884062555 18.0746153751914 1052.6645042303671 459.088313574599],[856.0043334960938 359.0696716308594 949.4918823242188 393.5061950683594],0.8923805356025696,[BH9208A0],0.2259453657006456
278,1.0,[642.8418777275824 13.682394435931144 1050.8120336643615 461.9468268980724],[851.819091796875 359.5635986328125 946.5234375 393.738037109375],0.8959044814109802,(BH9208*A0],0.18943460958895122
279,1.0,[639.6762624165261 10.951334097352344 1049.2823444594733 464.9582255241256],[851.183837890625 359.38897705078125 945.04736328125 394.30963134765625],0.8866939544677734,(BH9208*40],0.18627690130595537
280,1.0,[639.3112909077225 9.631605707530184 1050.260382049213 468.01156193587644],[851.9541015625 359.85308837890625 947.604736328125 395.42095947265625],0.8952543139457703,[BM920840],0.4728771467509459
281,1.0,[639.2078202752296 8.083360007151441 1052.182293822519 470.1053310789617],[854.3480224609375 360.1891784667969 950.9698486328125 397.3117980957031],0.8913384675979614,BM920840],0.5240157332795905
282,1.0,[640.2492507263752 6.905817852664825 1055.0630725715962 472.2759020491759],[856.191650390625 361.4609375 952.507568359375 399.663330078125],0.8823544979095459,[BH9208*40],0.2505463162343175
283,1.0,[640.2850781872371 6.1193487798040564 1056.9210282839745 474.52771029211965],[857.1036376953125 363.6221923828125 954.947021484375 399.72265625],0.8919022083282471,[BM9208*40,0.3282977676474679
284,1.0,[640.4593341635772 4.872453702184259 1058.9201696479731 476.0188691843589],[858.5971069335938 364.2295837402344 957.1419067382812 399.8301086425781],0.8994484543800354,BH9208*40],0.5390196181408994
285,1.0,[641.6089036825874 4.4170173619635875 1063.0213100872645 477.55853799192914],[862.4384155273438 364.0022888183594 960.3545532226562 400.0923156738281],0.8935824632644653,BH9208*A0],0.41436112866925007
286,1.0,[642.2539546426001 4.925033295841729 1066.8863125176442 479.10469507022935],[866.887939453125 364.5726318359375 964.3199462890625 400.2440185546875],0.9031625390052795,BH'9208*A0],0.24434130370090087
287,1.0,[643.513653194914 4.681639081795879 1070.468413776743 480.6439925503969],[867.0357666015625 365.95208740234375 966.7298583984375 403.12347412109375],0.8867126107215881,BH9208*AO],0.39817596437642094
288,1.0,[643.9091588406884 4.744596098257745 1072.9003622650262 482.32549400653204],[866.9584350585938 367.18853759765625 968.4966430664062 404.89886474609375],0.8979341983795166,[BH9208A0,0.18126433094537964
289,1.0,[644.9387116436096 5.212590929162133 1075.8962429351725 484.31962394681955],[871.6196899414062 368.47613525390625 973.3455200195312 406.09735107421875],0.8997503519058228,BH9208*A0],0.3731882109334317
290,1.0,[646.2839074798445 5.272472608627709 1079.5413742110618 485.7380773256065],[873.103759765625 368.1304626464844 976.06689453125 406.7396545410156],0.8861078023910522,BH9208*A0],0.21050714211236052
291,1.0,[647.060025422729 5.1064891117490845 1082.2724891056664 486.7509074129472],[873.5372314453125 368.87420654296875 977.9443359375 406.88958740234375],0.8923973441123962,BM*9208*AO],0.14108306594773165
292,1.0,[647.7180296094481 4.841918837611246 1085.502656315225 487.48519395097105],[874.4859619140625 369.38958740234375 979.1011962890625 406.526123046875],0.8888945579528809,BH9208*AO,0.22053593264700624
293,1.0,[647.7675855049871 3.9591180430991244 1088.0224641947834 487.6591253793852],[880.0196533203125 369.0736389160156 981.9698486328125 407.1991271972656],0.9025785326957703,BH9208A0],0.2630103709520722
294,1.0,[648.7555208482798 3.0194977400515484 1091.1449516914295 487.60309146837744],[881.8167724609375 369.28082275390625 985.8946533203125 407.77520751953125],0.9117869734764099,BH9208A0,0.4408609610354762
295,1.0,[650.4566725230821 2.236036158683703 1095.38151706197 487.80440063340734],[881.9719848632812 369.49700927734375 989.6975708007812 407.71868896484375],0.9063770174980164,BH9208*A0],0.5907588485913474
296,1.0,[651.2590202025349 1.8835110711502239 1099.45948657522 488.06828599234683],[884.2073974609375 369.4453125 991.0318603515625 407.517333984375],0.9070404767990112,BH9208*A0],0.1974302987083082
297,1.0,[652.203621076959 2.3169510211972124 1104.0012444830884 488.9118679777458],[886.845947265625 370.2415771484375 992.821533203125 407.9718017578125],0.90022212266922,BH9208*A0],0.3119472341522733
298,1.0,[652.8496041094122 2.488520473285064 1108.3733505341806 489.5342952960624],[889.3406372070312 369.87921142578125 996.9915161132812 407.952392578125],0.9047552347183228,BH9208*A0],0.20292463474504277
299,1.0,[653.5912394469343 0.7736385645271753 1112.6993534545084 489.40546494983147],[891.957275390625 369.6667785644531 1000.3604736328125 409.0602722167969],0.918042004108429,BH9208*A0],0.29327871881476525
300,1.0,[654.6806592899777 1.2649405791733557 1117.4133231997444 490.80983369189823],[897.23681640625 369.70965576171875 1005.52783203125 409.80499267578125],0.9222047924995422,BM9208A0],0.19267969004843893
301,1.0,[654.875542534857 2.401752113494041 1120.5996461545685 492.8522136196859],[898.3469848632812 371.7630920410156 1007.7959594726562 410.9248352050781],0.9054667353630066,BM9208*A0],0.2940029368426282
302,1.0,[655.4941208535646 3.4347090255277237 1124.047396958983 495.21166992582175],[901.4853515625 373.496826171875 1010.14892578125 414.17755126953125],0.9037800431251526,BH9208*A0],0.5844213907481816
303,1.0,[656.891431176433 4.540584654402835 1128.5639772175803 497.35007023381706],[903.637939453125 374.0460205078125 1014.3778076171875 414.6883544921875],0.8942298293113708,BM9208*AO],0.2650399288642123
304,1.0,[658.9451497278754 6.709203111218102 1133.0931340435104 500.02732095003853],[908.0421142578125 375.2707214355469 1019.8282470703125 414.7645568847656],0.8883365988731384,BM9208*A0],0.38701204773854403
